Regno,Compound,Chemotype,Smiles,>90,>80,>70,AAK1,ABL1-nonphosphorylated,ABL1-phosphorylated,ABL2,ACVR1,ACVR1B,ACVR2A,ACVR2B,ACVRL1,ADCK3,ADCK4,AKT1,AKT2,AKT3,ALK,AMPK-alpha1,AMPK-alpha2,ANKK1,ARK5,ASK1,ASK2,AURKA,AURKB,AURKC,AXL,BIKE,BLK,BMPR1A,BMPR1B,BMPR2,BMX,BRAF,BRK,BRSK1,BRSK2,BTK,BUB1,CAMK1,CAMK1B,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CASK,CDC2L1,CDC2L2,CDC2L5,CDK11,CDK2,CDK3,CDK4,CDK4-cyclinD1,CDK4-cyclinD3,CDK5,CDK7,CDK8,CDK9,CDKL1,CDKL2,CDKL3,CDKL5,CHEK1,CHEK2,CIT,CLK1,CLK2,CLK3,CLK4,CSF1R,CSF1R-autoinhibited,CSK,CSNK1A1,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,CSNK2A1,CSNK2A2,CTK,DAPK1,DAPK2,DAPK3,DCAMKL1,DCAMKL2,DCAMKL3,DDR1,DDR2,DLK,DMPK,DMPK2,DRAK1,DRAK2,DYRK1A,DYRK1B,DYRK2,EGFR,EIF2AK1,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,EPHB6,ERBB2,ERBB3,ERBB4,ERK1,ERK2,ERK3,ERK4,ERK5,ERK8,ERN1,FAK,FER,FES,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1,FLT3,FLT3-autoinhibited,FLT4,FRK,FYN,GAK,"GCN2(Kin.Dom.2,S808G)",GRK1,GRK2,GRK3,GRK4,GRK7,GSK3A,GSK3B,HASPIN,HCK,HIPK1,HIPK2,HIPK3,HIPK4,HPK1,HUNK,ICK,IGF1R,IKK-alpha,IKK-beta,IKK-epsilon,INSR,INSRR,IRAK1,IRAK3,IRAK4,ITK,JAK1(JH1domain-catalytic),JAK1(JH2domain-pseudokinase),JAK2(JH1domain-catalytic),JAK3(JH1domain-catalytic),JNK1,JNK2,JNK3,KIT,KIT-autoinhibited,LATS1,LATS2,LCK,LIMK1,LIMK2,LKB1,LOK,LRRK2,LTK,LYN,LZK,MAK,MAP3K1,MAP3K15,MAP3K2,MAP3K3,MAP3K4,MAP4K2,MAP4K3,MAP4K4,MAP4K5,MAPKAPK2,MAPKAPK5,MARK1,MARK2,MARK3,MARK4,MAST1,MEK1,MEK2,MEK3,MEK4,MEK5,MEK6,MELK,MERTK,MET,MINK,MKK7,MKNK1,MKNK2,MLCK,MLK1,MLK2,MLK3,MRCKA,MRCKB,MST1,MST1R,MST2,MST3,MST4,MTOR,MUSK,MYLK,MYLK2,MYLK4,MYO3A,MYO3B,NDR1,NDR2,NEK1,NEK10,NEK11,NEK2,NEK3,NEK4,NEK5,NEK6,NEK7,NEK9,NIK,NIM1,NLK,OSR1,PAK1,PAK2,PAK3,PAK4,PAK6,PAK7,PCTK1,PCTK2,PCTK3,PDGFRA,PDGFRB,PDPK1,PFTAIRE2,PFTK1,PHKG1,PHKG2,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK4CB,PIKFYVE,PIM1,PIM2,PIM3,PIP5K1A,PIP5K1C,PIP5K2B,PIP5K2C,PKAC-alpha,PKAC-beta,PKMYT1,PKN1,PKN2,PLK1,PLK2,PLK3,PLK4,PRKCD,PRKCE,PRKCH,PRKCI,PRKCQ,PRKD1,PRKD2,PRKD3,PRKG1,PRKG2,PRKR,PRKX,PRP4,PYK2,QSK,RAF1,RET,RIOK1,RIOK2,RIOK3,RIPK1,RIPK2,RIPK4,RIPK5,ROCK1,ROCK2,ROS1,RPS6KA4(Kin.Dom.1-N-terminal),RPS6KA4(Kin.Dom.2-C-terminal),RPS6KA5(Kin.Dom.1-N-terminal),RPS6KA5(Kin.Dom.2-C-terminal),RSK1(Kin.Dom.1-N-terminal),RSK1(Kin.Dom.2-C-terminal),RSK2(Kin.Dom.1-N-terminal),RSK2(Kin.Dom.2-C-terminal),RSK3(Kin.Dom.1-N-terminal),RSK3(Kin.Dom.2-C-terminal),RSK4(Kin.Dom.1-N-terminal),RSK4(Kin.Dom.2-C-terminal),S6K1,SBK1,SGK,SGK2,SGK3,SIK,SIK2,SLK,SNARK,SNRK,SRC,SRMS,SRPK1,SRPK2,SRPK3,STK16,STK33,STK35,STK36,STK39,SYK,SgK110,TAK1,TAOK1,TAOK2,TAOK3,TBK1,TEC,TESK1,TGFBR1,TGFBR2,TIE1,TIE2,TLK1,TLK2,TNIK,TNK1,TNK2,TNNI3K,TRKA,TRKB,TRKC,TRPM6,TSSK1B,TSSK3,TTK,TXK,TYK2(JH1domain-catalytic),TYK2(JH2domain-pseudokinase),TYRO3,ULK1,ULK2,ULK3,VEGFR2,VPS34,VRK2,WEE1,WEE2,WNK1,WNK2,WNK3,WNK4,YANK1,YANK2,YANK3,YES,YSK1,YSK4,ZAK,ZAP70,p38-alpha,p38-beta,p38-delta,p38-gamma
0,TPKI-89,benzofuran oxadiazole and analogues,COC1=CC=C(CSC2=NN=C(O2)C2=CC3=C(OCC3)C=C2)C=C1,0,2,3,8,28,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,15,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,28,0,81,0,10,0,0,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,15,0,0,0,0,3,0,35,0,0,0,0,0,1,18,0,6,0,0,0,0,12,13,0,18,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,14,0,0,0,0,0,0,0,33,0,0,3,1,0,75,0,42,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,21,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,26,0,0,0,0,0,0,0,0,0,18,9,0,0,0,0,0,5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,11,23,9,14,0,0,19,0,0,0,0,0,0,14,0,0,0,0,0,31,0,0,0,0,0,16,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,5,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,26,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
0,TPKI-90,benzofuran oxadiazole and analogues,FC1=CC(COC2=NN=C(O2)C2=CC3=C(OCC3)C=C2)=CC=C1,1,1,1,26,25,0,22,0,0,0,100,0,0,0,0,20,11,7,6,0,0,5,0,23,15,37,0,0,0,0,0,6,18,0,0,0,0,6,17,20,18,0,0,12,0,6,0,7,0,8,0,10,1,0,18,16,0,4,0,9,0,0,9,19,0,0,9,9,0,0,10,0,32,13,0,53,11,0,0,0,12,0,0,10,4,0,42,60,0,24,0,0,9,0,0,0,12,0,0,0,6,33,44,65,3,6,0,0,0,0,0,0,11,14,16,20,0,20,16,0,3,13,0,0,13,0,0,8,0,15,0,0,14,5,0,0,0,19,0,4,3,0,0,0,2,5,0,0,23,0,8,0,9,44,0,25,23,0,3,0,7,0,2,21,7,0,0,0,44,0,5,23,0,10,0,5,6,0,0,3,0,0,0,0,0,0,16,0,4,0,6,14,0,17,17,0,0,0,0,2,0,0,0,11,14,24,0,24,21,5,4,0,0,9,0,19,0,0,1,13,0,0,7,0,19,0,0,1,0,10,0,25,0,3,3,0,0,4,0,5,0,4,10,0,0,0,12,0,0,0,19,3,0,0,6,0,27,55,16,15,38,17,8,6,0,28,0,0,7,2,0,0,0,0,0,14,17,7,0,24,11,8,0,31,6,29,10,0,0,11,0,0,0,9,11,12,12,0,0,0,22,0,1,0,0,0,0,0,8,10,7,4,5,9,0,0,0,0,0,15,0,0,0,0,30,0,9,0,43,0,35,0,22,0,8,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,7,2,4,7,0,0,0,7,0,0,0,0,33,0,10,0,7,0,25,0,14,0,0,0,24,0,48,0,0,0,14,0,3,6,0,0,14,0,25,17,0,0,19,0,0,0,0,0,0,19,0,0,31,0,0,15,0,4,0
0,TPKI-91,benzofuran oxadiazole and analogues,COC1=CC=C(CSC2=NN=C(O2)C2=CC3=C(C=C2)N=CS3)C=C1C(F)(F)F,2,4,4,9,13,8,2,0,9,0,0,2,0,0,8,4,0,0,0,13,0,10,0,4,0,13,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0,23,2,0,0,0,0,0,0,0,10,0,0,35,37,1,0,0,0,0,2,0,15,0,0,0,0,8,1,17,9,90.5,39,0,83,1,0,0,0,0,0,0,0,0,0,0,2,5,10,4,0,9,0,0,14,12,0,0,0,0,3,36,28,0,7,0,0,3,3,1,0,20,0,0,0,0,14,18,0,0,0,0,0,30,0,0,0,57,0,0,0,14,5,0,0,0,27,0,0,0,10,0,0,0,0,0,0,1,18,0,98.4,89,45,0,38,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,0,25,0,0,0,0,0,0,18,0,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,24,0,2,0,0,9,9,0,0,24,0,16,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,8,1,0,16,1,15,6,0,10,10,8,0,0,29,0,0,0,0,0,0,0,0,0,16,16,9,0,9,1,0,0,0,0,0,10,0,0,0,15,0,0,0,12,0,5,0,0,1,0,10,0,11,17,11,0,1,22,0,0,0,4,0,2,13,0,0,0,10,17,7,11,0,0,3,0,20,0,0,7,0,10,13,22,0,0,0,0,11,0,0,0,5,17,10,0,0,0,0,0,0,0,9,0,0,2,0,0,11,0,15,0,0,3,0,10,0,0,15,0,0,0,0,0,25,0,31,9,0,13,0,3,5,19,0,19,0,7,0,0,0,0,0,0,13,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,11,0,0,11,70,0,11,0,10,0,0
0,TPKI-92,benzofuran oxadiazole and analogues,COC1=C(C=C(CSC2=NN=C(O2)C2=CN3C=CN=C3C=C2)C=C1)C(F)(F)F,6,6,6,16,28,13,21,0,23,7,15,21,6,6,13,4,44,29,3,9,0,9,0,44,0,22,15,20,18,1,0,21,3,0,9,0,14,3,15,0,5,8,0,22,2,32,11,16,0,0,0,15,4,5,50,40,0,4,0,7,13,10,13,21,0,21,7,18,16,23,17,14,97.1,91.9,12,90.3,17,6,0,18,0,0,0,15,0,0,0,21,0,0,0,1,8,0,0,13,0,0,41,2,31,0,41,41,0,4,7,0,7,8,11,10,9,15,16,17,0,7,16,0,0,9,0,0,0,18,0,1,39,0,0,4,14,4,4,0,0,19,35,15,25,9,0,0,6,0,5,0,37,0,15,93.8,93.8,32,0,31,20,5,6,0,0,0,0,10,7,11,5,8,44,30,38,20,0,0,13,1,0,0,0,0,10,24,23,4,0,0,6,3,0,0,7,18,0,15,13,30,9,12,37,16,7,3,33,27,10,44,0,6,0,13,21,43,51,0,0,16,5,2,12,0,0,0,2,0,4,3,3,20,0,0,0,15,7,0,9,0,8,21,2,0,14,12,3,13,0,0,0,4,4,10,7,0,0,0,18,8,15,61,0,16,35,22,13,8,3,28,0,0,0,4,0,0,21,12,15,11,29,32,0,0,6,9,0,2,0,43,0,10,26,28,3,33,0,42,16,11,20,21,0,13,30,0,5,1,3,16,0,34,4,0,11,4,23,15,32,17,5,0,0,0,14,0,3,11,21,22,1,18,44,12,10,8,6,30,0,0,0,8,4,61,13,29,14,77,5,7,3,20,0,16,3,2,16,10,0,0,0,33,22,13,0,10,21,12,14,12,22,0,6,13,0,0,3,0,18,0,38,0,0,1,64,6,8,5,3,0,4,0,10,7,7,9,0,0,0,0,2,20,8,0,0,14,92.3,0,0,4,21,0,3
0,TPKI-93,benzofuran oxadiazole and analogues,COC1=CC=C(C=C1)C1=COC2=C1C=C(C=C2)C1=NN=C(O1)SCC1=CC=C(OC)C(=C1)C(F)(F)F,0,0,0,2,13,0,24,28,7,0,0,26,21,10,4,0,0,0,31,0,38,0,17,0,21,11,7,11,0,7,20,13,14,29,0,0,0,13,0,0,0,8,14,3,0,1,7,0,12,1,2,1,0,17,0,57,1,0,0,2,0,14,0,20,1,11,0,0,1,0,18,0,26,1,0,18,0,7,16,0,0,0,0,0,24,0,22,24,10,15,0,0,38,8,0,2,0,0,0,0,0,0,0,0,14,0,5,0,2,0,8,18,17,19,14,26,24,20,0,16,19,28,21,8,24,0,3,2,2,44,10,0,4,0,17,17,2,0,0,10,19,13,0,3,10,0,19,0,0,0,21,25,4,0,38,12,17,14,0,4,0,7,12,25,6,22,25,0,10,4,14,25,0,32,22,0,0,0,0,20,7,25,0,0,25,12,0,24,0,27,0,0,22,0,0,10,0,0,0,0,6,0,0,23,5,2,0,4,13,13,22,10,30,4,0,20,11,13,26,14,0,1,0,14,0,0,0,0,32,0,11,17,0,0,1,15,0,0,8,36,20,0,0,0,0,8,0,2,0,13,0,0,1,0,10,3,0,3,22,1,17,3,0,9,9,23,16,12,0,19,3,4,0,13,0,27,11,0,0,0,0,18,4,0,0,4,0,15,3,17,24,3,0,15,14,8,9,0,0,0,0,0,0,0,6,14,0,0,15,0,0,12,0,0,20,9,9,17,12,20,0,23,0,9,15,0,0,1,17,14,19,16,19,25,16,0,0,0,6,28,10,21,9,35,21,4,0,8,0,0,17,7,0,29,0,0,4,0,0,0,0,11,18,0,6,25,0,0,17,0,3,9,8,0,5,10,0,1,0,0,1,0,27,1,16,0,6,16,17,11,0,0,0,0,31,0,4,10,0,0,12,0,20,0,0,0,6,6,16
0,TPKI-94,benzofuran oxadiazole and analogues,COC1=CC=C(C=C1)C1=COC2=C1C=C(C=C2)C1=NN=C(O1)SCC1=CC=CC(=C1)C#N,1,2,2,0,23,0,0,6,6,0,0,0,21,0,0,2,0,0,7,0,19,16,9,6,22,12,0,21,0,0,14,17,18,28,0,10,0,10,0,0,26,6,23,8,0,0,7,0,0,0,0,8,0,10,0,0,6,0,0,0,0,18,9,0,0,5,0,0,9,0,0,5,47,10,0,57,2,0,20,10,7,0,5,11,0,8,3,28,0,29,0,0,35,0,0,0,3,1,0,0,2,7,5,0,2,0,30,7,3,2,25,21,26,0,0,0,5,6,0,0,14,0,0,0,26,0,0,0,14,11,0,10,7,11,13,17,17,0,0,13,10,0,0,5,12,0,9,0,0,0,27,96.1,45,0,20,32,24,20,0,0,0,17,0,19,7,0,20,0,0,0,0,0,22,36,12,0,22,17,14,21,1,29,11,11,26,0,0,4,0,0,0,9,36,7,0,24,12,11,0,13,13,12,0,18,20,18,10,13,31,4,13,0,38,21,16,11,0,0,9,17,20,2,2,0,18,11,0,0,15,33,13,25,0,0,18,6,7,0,20,49,7,0,0,0,0,5,7,3,0,16,0,0,2,5,0,0,18,34,0,14,19,15,0,0,2,20,10,2,0,1,0,1,2,5,0,39,0,0,29,0,12,20,17,0,0,4,9,11,0,0,32,0,0,11,12,18,12,0,0,0,31,0,23,0,0,21,0,0,18,0,0,14,16,0,5,11,0,12,16,12,0,24,18,0,13,29,0,16,24,9,0,16,18,26,24,2,0,0,0,21,17,0,18,30,18,3,0,0,0,0,20,0,26,8,0,14,10,23,0,10,0,10,0,0,11,0,17,5,25,0,21,10,0,20,17,0,3,0,0,0,6,2,10,0,0,0,5,81,10,0,0,0,8,0,0,0,3,21,12,11,0,0,0,23,0,5,11,16,7
0,TPKI-95,isoquinolone,COC(=O)C1=C(C2=CC=CC=C2)C2=CC(Br)=CC=C2C(=O)N1CC1=CC=C(NC(=O)CCC(O)=O)C=C1,4,4,4,13,38,0,18,0,0,0,0,0,0,0,12,11,0,52,21,22,0,0,2,0,0,9,0,0,0,4,0,6,7,2,42,0,0,0,38,20,12,38,12,9,0,0,3,8,0,0,0,0,16,0,13,7,4,5,8,0,0,0,5,0,0,1,0,12,6,0,25,33,0,0,0,17,9,0,0,16,18,0,0,0,11,0,11,19,6,0,0,0,16,0,0,2,22,0,0,0,0,0,9,48,8,0,12,24,0,4,12,7,31,5,12,5,7,19,13,14,57,0,0,0,29,3,3,13,0,20,0,0,9,0,0,0,0,8,0,6,0,9,8,0,0,0,0,19,8,0,31,0,15,6,14,26,28,0,0,0,0,14,0,0,0,0,8,13,8,25,16,12,5,0,0,0,99,99.1,99.3,38,1,27,17,0,0,0,6,20,4,3,8,4,8,12,18,0,18,38,0,0,0,0,16,4,7,6,0,4,29,0,3,11,10,10,21,7,3,18,0,0,0,0,0,0,0,0,0,0,12,43,27,7,0,32,0,29,0,1,100,0,0,0,0,0,0,0,13,1,0,7,18,11,0,2,0,14,15,17,0,2,18,2,15,7,0,16,57,0,17,0,0,0,0,1,0,24,0,7,0,5,4,24,3,4,0,35,0,33,0,10,0,0,0,14,5,15,0,0,7,0,21,0,0,0,0,0,0,10,0,16,0,14,5,0,0,0,0,12,20,21,8,0,0,0,9,23,0,0,5,0,29,16,15,0,26,0,1,6,18,0,6,0,1,0,0,25,0,0,10,20,15,0,0,8,14,0,0,19,0,0,0,22,10,39,10,0,0,0,19,0,0,17,0,0,0,0,35,0,0,0,9,39,4,0,0,8,11,16,0,0,0,0,21,0,26,0,0,0,21,0,0,0,12,36,0,5,5,28,21
0,TPKI-96,isoquinolone,COC(=O)C1=C(C2=CC=CC=C2)C2=CC(C)=CC=C2C(=O)N1CC1=CC=CC=C1,1,2,5,1,53,0,6,0,0,7,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,19,79,0,0,0,0,0,21,0,19,12,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,6,0,60,33,0,0,0,0,0,0,6,0,0,0,0,0,14,61,0,75,0,0,0,2,45,1,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,21,0,20,1,0,0,0,0,44,32,48,75,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,24,0,0,17,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,21,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,100,0,0,0,24,20,1,0,10,0,0,0,0,42,90,0,0,2,0,15,0,0,0,0,0,0,0,0,2,0,0,13,20,5,1,0,0,13,0,0,0,0,0,0,3,0,0,0,36,0,8,0,0,0,0,0,4,0,0,66,13,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,0,0,15,15,0,22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,25,0,8,0,21,0
0,TPKI-97,isoquinolone,COC(=O)C1=C(C2=CC=CC=C2)C2=CC(OC)=CC=C2C(=O)N1CC1=CC=CC=C1,2,6,6,22,66,0,12,0,0,0,0,0,0,0,1,12,0,28,21,0,0,27,0,37,25,22,0,0,0,0,0,0,0,9,89,0,9,6,54,21,19,0,20,20,15,0,13,18,0,16,17,0,7,3,0,12,2,10,0,0,0,11,15,7,9,3,13,12,0,0,15,6,0,4,0,5,51,20,0,9,4,0,0,8,0,0,0,27,26,37,2,6,12,7,0,81,50,9,0,0,0,22,0,12,0,0,5,0,3,9,35,1,43,0,1,0,23,35,27,0,9,11,0,0,17,0,14,13,0,17,0,0,22,7,3,3,0,29,0,8,21,9,45,0,6,2,0,0,1,0,24,14,18,3,22,7,11,3,0,0,0,0,0,5,4,0,0,9,11,12,10,9,10,0,0,0,66,68,85,93.3,6,31,0,0,0,0,8,9,0,11,32,0,33,24,0,0,11,12,0,0,0,0,10,0,19,21,0,22,20,0,0,0,18,10,21,0,3,0,0,7,5,0,3,0,9,0,0,0,15,38,26,20,0,0,11,0,0,8,9,0,0,3,7,0,0,9,16,11,0,0,0,7,0,0,0,0,31,27,44,9,3,5,0,4,9,70,99.5,0,10,6,7,31,0,0,3,14,5,0,0,13,18,2,20,16,14,38,0,21,0,2,4,0,0,25,20,19,19,12,9,0,15,0,16,0,0,2,4,4,7,6,23,85,17,0,0,0,0,0,4,24,0,0,0,0,4,15,0,11,18,0,41,8,21,0,27,8,2,0,0,16,1,6,0,12,1,8,0,5,9,11,3,0,3,11,0,0,0,19,0,0,0,0,14,20,17,0,3,0,23,0,1,0,0,0,0,0,0,11,10,0,14,12,7,0,0,1,0,0,7,0,0,0,9,0,0,0,0,0,4,0,0,1,0,20,0,36,7,42,0
0,TPKI-98,isoquinolone,COC(=O)C1=C(C2=CC=CC=C2)C2=CC(=CC=C2C(=O)N1CC1=CC=CC=C1)C(O)=O,3,5,6,3,77,7,7,0,9,36,0,20,0,0,0,0,1,0,0,7,0,5,0,0,0,11,0,0,0,0,0,3,0,17,90,0,0,0,0,0,1,0,1,6,0,0,5,0,18,0,0,18,0,3,40,0,0,0,0,0,0,0,0,13,0,0,6,4,21,0,13,2,0,13,0,0,50,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,5,4,26,92.6,63,0,12,0,0,0,7,32,0,0,0,0,3,15,0,0,0,0,0,6,12,0,0,0,0,0,2,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,3,0,48,0,0,10,0,0,3,23,0,0,0,31,0,14,0,0,0,0,43,0,4,0,0,0,0,7,18,0,22,5,2,0,0,0,0,0,0,93.1,0,22,0,0,1,0,0,0,0,0,16,0,0,0,8,0,0,4,0,0,0,7,3,0,0,3,0,0,0,0,10,7,0,4,0,0,0,0,0,0,0,0,0,41,14,0,0,0,0,19,12,0,9,25,0,0,8,0,0,0,2,0,22,9,0,0,31,0,0,0,0,0,0,0,0,0,14,22,0,0,16,0,8,0,0,65,99.4,14,0,0,0,24,3,0,0,13,0,7,0,2,0,0,0,18,17,22,13,0,24,0,0,0,0,12,0,11,0,0,4,0,22,14,0,3,8,0,3,0,9,0,0,81,21,0,26,11,0,0,0,0,10,0,0,0,6,11,0,0,18,0,0,0,0,0,5,0,0,23,25,5,0,0,16,5,0,0,0,0,0,0,22,0,0,5,0,0,14,0,14,20,0,6,0,0,21,8,0,18,10,0,0,0,0,0,0,0,11,0,0,0,4,0,0,4,7,0,0,0,0,9,0,0,0,0,0,0,3,0,3,2,0,0,0,0,31,24,19,21,0
0,TPKI-99,isoquinolone,COC(=O)C1=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2C(=O)N1CC1=CC=C(C=C1)S(C)(=O)=O,5,6,7,18,40,0,18,0,0,0,0,0,17,0,9,3,0,8,7,0,0,19,6,6,4,12,0,0,0,0,0,5,0,17,65,7,0,0,25,0,2,0,0,9,0,0,5,9,0,0,14,0,10,10,29,0,0,0,0,0,4,7,10,0,7,9,0,0,33,0,10,4,3,0,10,10,23,6,0,21,0,0,3,100,0,0,3,35,3,21,0,0,5,1,4,51,5,0,0,0,0,3,17,10,44,6,10,0,8,6,20,4,34,1,7,6,18,24,0,0,0,0,29,0,3,0,3,13,6,13,4,0,3,0,8,6,6,0,0,0,2,8,22,0,100,0,0,0,15,12,15,0,0,27,14,14,24,0,0,0,0,32,0,0,0,0,5,0,11,19,9,21,0,0,5,4,98.8,99.5,99.4,56,0,30,19,13,1,0,0,4,2,0,20,0,5,0,20,0,26,0,3,13,0,0,24,0,0,0,0,0,0,0,29,9,10,0,4,0,8,0,0,0,0,0,0,0,0,4,0,0,1,24,18,7,0,0,0,34,0,5,0,0,0,0,0,13,0,83,4,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,28,3,0,15,78,16,0,11,4,0,10,24,10,21,34,25,46,0,1,16,2,16,0,49,0,5,0,1,0,0,0,6,9,26,0,0,0,8,19,33,0,0,0,12,0,16,1,0,0,49,2,0,29,0,0,0,13,4,6,0,0,0,5,8,0,5,11,5,15,9,6,0,8,0,0,0,0,9,2,9,19,18,0,23,0,10,6,0,0,0,15,15,0,3,46,17,0,0,0,20,0,0,7,5,4,0,19,0,4,0,0,19,0,0,17,0,0,0,7,0,0,2,0,0,0,0,0,0,10,0,0,0,4,0,27,0,15,0,0,0,2,5,0,17,0,21,23
GW574783,UNC10112604A,4-anilino-quinazoline and analogues,Cl.CS(=O)(=O)CCNCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2c1,4,5,7,13,0,0,0,2,0,4,22,0,23,20,46,21,27,18,9,24,0,18,0,0,0,4,2,42,19,49,0,0,0,19,9,0,1,0,0,26,14,0,4,27,0,0,4,11,0,0,0,3,0,0,0,15,5,10,0,21,0,0,0,43,0,0,11,0,0,6,0,23,0,0,0,21,0,7,0,0,20,15,10,0,0,6,3,5,0,0,0,0,0,0,4,10,39,25,16,2,16,0,0,0,0,100,0,3,1,0,13,0,15,0,8,3,0,18,8,28,100,69,90.8,4,0,0,0,0,15,0,11,14,0,0,0,12,0,9,26,11,0,0,0,14,0,16,2,1,20,0,0,8,1,30,18,0,13,18,18,22,14,0,13,0,0,7,7,24,0,12,0,0,9,0,14,0,18,4,0,10,0,0,11,30,0,1,0,58,22,25,0,26,12,15,5,0,0,0,0,1,0,5,16,0,0,0,3,9,23,10,0,3,15,85,0,23,5,0,0,71,26,0,0,0,31,10,0,2,23,17,0,0,0,30,19,7,16,2,0,0,0,0,0,23,26,0,0,5,0,0,0,0,100,0,12,0,0,0,7,0,0,0,0,0,0,0,14,17,0,0,13,0,38,0,0,0,0,0,8,23,0,5,0,32,62,0,29,4,16,0,12,8,6,0,0,0,0,10,27,13,20,4,12,0,0,0,0,17,12,0,2,19,0,32,6,0,9,79,0,0,22,21,0,32,0,28,0,0,0,4,29,17,6,6,8,0,3,11,0,0,0,0,25,0,0,2,0,0,0,19,0,8,0,0,5,0,0,0,0,0,0,2,7,4,11,9,34,2,0,0,0,0,9,0,17,0,24,7,39,21,18,10,27,22,0,0,0,0,0,18,42,12,19,11,10,29,22,0,24,8,1,0,2,0,0,0,0,21,0
